"iata"	"airport"	"city"	"state"	"country"	"lat"	"long"
"629"	"7F6"	"Clarksville-Red River County"	"Clarksville"	"TX"	"USA"	33.59316472	-95.06355528
"630"	"7F7"	"Clifton Municipal"	"Clifton"	"TX"	"USA"	31.81682333	-97.56696361
"631"	"7F9"	"Comanche County-City"	"Comanche"	"TX"	"USA"	31.91681306	-98.600325
"632"	"7G0"	"Ledgedale Airpark"	"Brockport"	"NY"	"USA"	43.18118194	-77.91362333
"633"	"7G8"	"Geauga County"	"Middlefield"	"OH"	"USA"	41.44960972	-81.06292972
"634"	"7I7"	"Bellefontaine Municipal"	"Bellefontaine"	"OH"	"USA"	40.41208333	-83.73686111
"635"	"7K0"	"Pike County-Hatcher "	"Pikeville"	"KY"	"USA"	37.56173889	-82.56660694
"636"	"7K2"	"Skagway SPB"	"Skagway"	"AK"	"USA"	59.44689528	-135.3226633
"637"	"7K4"	"Ohio County "	"Hartford"	"KY"	"USA"	37.45832417	-86.84995194
"638"	"7K8"	"Martin "	"South Sioux City"	"NE"	"USA"	42.45416111	-96.47253111
"639"	"7KA"	"Tatitlek"	"Tatitlek"	"AK"	"USA"	60.86890528	-146.6864653
"640"	"7M1"	"McGehee Municipal"	"McGehee"	"AR"	"USA"	33.62022111	-91.36484056
"641"	"7M3"	"Bearce"	"Mount Ida"	"AR"	"USA"	34.52926056	-93.52713472
"642"	"7M4"	"Osceola Municipal"	"Osceola"	"AR"	"USA"	35.69114639	-90.01012028
"643"	"7M5"	"Ozark-Franklin County"	"Ozark"	"AR"	"USA"	35.51069583	-93.8393075
"644"	"7M7"	"Piggott Municipal"	"Piggott"	"AR"	"USA"	36.37820556	-90.16624167
"645"	"7N0"	"New Orleans Downtown Heliport"	"New Orleans"	"LA"	"USA"	29.95194444	-90.08166667
"646"	"7N1"	"Corning-Painted Post"	"Corning"	"NY"	"USA"	42.17590722	-77.11219278
"647"	"7N7"	"Spitfire Aerodrome"	"Pedrictown"	"NJ"	"USA"	39.73556333	-75.39772111
"648"	"7S0"	"Ronan"	"Ronan"	"MT"	"USA"	47.57076861	-114.0967783
"649"	"7S1"	"Twin Bridges"	"Twin Bridges"	"MT"	"USA"	45.53325917	-112.3091656
"650"	"7S5"	"Independence State"	"Independence"	"OR"	"USA"	44.86676444	-123.1982475
"651"	"7S6"	"White Sulphur Springs"	"White Sulphur Springs"	"MT"	"USA"	46.50410722	-110.9132667
"652"	"7S7"	"Valier"	"Valier"	"MT"	"USA"	48.29997583	-112.2508711
"653"	"7V1"	"Buena Vista Muni"	"Buena Vista"	"CO"	"USA"	38.81416194	-106.1206939
"654"	"7V7"	"Red Cloud Municipal"	"Red Cloud"	"NE"	"USA"	40.08473556	-98.54061694
"655"	"7W6"	"Hyde County"	"Englehard"	"NC"	"USA"	35.5623925	-75.95518417
"656"	"80F"	"Antlers Municipal"	"Antlers"	"OK"	"USA"	34.19260083	-95.64985889
"657"	"81B"	"Oxford County Regional"	"Norway"	"ME"	"USA"	44.15742611	-70.48129583
"658"	"82C"	"Mauston-New Lisbon Union"	"New Lisbon"	"WI"	"USA"	43.83872167	-90.13768389
"659"	"82V"	"Pine Bluffs Municipal"	"Pine Bluffs"	"WY"	"USA"	41.15331528	-104.1302292
"660"	"83D"	"Mackinac County"	"St Ignace"	"MI"	"USA"	45.89029056	-84.73755083
"661"	"84D"	"Cheyenne Eagle Butte"	"Eagle Butte"	"SD"	"USA"	44.984375	-101.2510417
"662"	"84K"	"Meyers Chuck SPB"	"Meyers Chuck"	"AK"	"USA"	55.73963611	-132.2550183
"663"	"84R"	"Smithville Municipal"	"Smithville"	"TX"	"USA"	30.03048028	-97.16687194
"664"	"85V"	"Ganado"	"Ganado"	"AZ"	"USA"	35.70140278	-109.5103814
"665"	"86F"	"Carnegie Municipal"	"Carnegie"	"OK"	"USA"	35.12061417	-98.5806175
"666"	"87I"	"Yazoo County"	"Yazoo City"	"MS"	"USA"	32.883215	-90.4636475
"667"	"87Y"	"Blackhawk Airfield"	"Madison"	"WI"	"USA"	43.10491444	-89.18553833
"668"	"88C"	"Palmyra Municipal"	"Palmyra"	"WI"	"USA"	42.88355556	-88.59743056
"669"	"88J"	"Allendale County"	"Allendale"	"SC"	"USA"	32.99512944	-81.27024583
"670"	"88M"	"Eureka"	"Eureka"	"MT"	"USA"	48.96885444	-115.0704464
"671"	"89D"	"Kelleys Island Land "	"Kelleys Island"	"OH"	"USA"	41.60282583	-82.684625
"672"	"8A0"	"Albertville Municipal "	"Albertville"	"AL"	"USA"	34.22910972	-86.25575806
"673"	"8A1"	"Guntersville Municipal"	"Guntersville"	"AL"	"USA"	34.39944167	-86.27016111
"674"	"8A3"	"Livingston Municipal"	"Livingston"	"TN"	"USA"	36.41217389	-85.31154861
"675"	"8B0"	"Rangeley Municipal"	"Rangeley"	"ME"	"USA"	44.991895	-70.66462472
"676"	"8D1"	"New Holstein Municipal"	"New Holstein"	"WI"	"USA"	43.94424111	-88.1134775
"677"	"8D3"	"Sisseton Municipal"	"Sisseton"	"SD"	"USA"	45.67079278	-96.99619167
"678"	"8D4"	"Sparta"	"Sparta"	"MI"	"USA"	43.12860833	-85.67689778
"679"	"8D7"	"Clark County"	"Clark"	"SD"	"USA"	44.89570278	-97.71191361
"680"	"8D9"	"Howard Municipal"	"Howard"	"SD"	"USA"	44.02914056	-97.53784778
"681"	"8F7"	"Decatur Municipal"	"Decatur"	"TX"	"USA"	33.25463889	-97.58055556
"682"	"8G2"	"Lawrence"	"Corry"	"PA"	"USA"	41.90755611	-79.64105083
"683"	"8G6"	"Harrison County"	"Cadiz"	"OH"	"USA"	40.23820667	-81.01256917
"684"	"8G7"	"Zelienople"	"Zelienople"	"PA"	"USA"	40.80161944	-80.16072889
"685"	"8K8"	"Cimarron Municipal"	"Cimarron"	"KS"	"USA"	37.83057667	-100.3504222
"686"	"8K9"	"Murphys Pullout SPB"	"Ketchikan"	"AK"	"USA"	55.38965028	-131.7380742
"687"	"8M1"	"Booneville-Baldwyn"	"Booneville"	"MS"	"USA"	34.58981806	-88.64699861
"688"	"8S1"	"Polson"	"Polson"	"MT"	"USA"	47.69543861	-114.1851178
"689"	"8S2"	"Cashmere-Dryden"	"Cashmere"	"WA"	"USA"	47.51484611	-120.4848025
"690"	"8S5"	"East Cooper"	"Mt Pleasant"	"SC"	"USA"	32.89783333	-79.78286111
"691"	"8U6"	"Terry"	"Terry"	"MT"	"USA"	46.77917333	-105.3047083
"692"	"8U8"	"Townsend"	"Townsend"	"MT"	"USA"	46.33111111	-111.4813889
"693"	"8V2"	"Stuart-Atkinson Municipal"	"Atkinson"	"NE"	"USA"	42.56250167	-99.03787611
"694"	"8Y2"	"Buffalo Municipal"	"Buffalo"	"MN"	"USA"	45.15904694	-93.84330361
"695"	"91C"	"Sauk - Prairie"	"Prairie Du Sac"	"WI"	"USA"	43.2969325	-89.75595639
"696"	"91F"	"Arrowhead"	"Canadian"	"OK"	"USA"	35.15426444	-95.62026389
"697"	"93B"	"Stonington"	"Stonington"	"ME"	"USA"	44.17508056	-68.67863722
"698"	"93C"	"Richland"	"Richland Center"	"WI"	"USA"	43.28333333	-90.29827778
"699"	"93F"	"Mignon Laird Municipal"	"Cheyenne"	"OK"	"USA"	35.60393694	-99.70343889
"700"	"93Y"	"David City Municipal"	"David City"	"NE"	"USA"	41.23334583	-97.11698111
"701"	"94K"	"Cassville Municipal"	"Cassville"	"MO"	"USA"	36.69741667	-93.90052778
"702"	"95F"	"Cleveland Municipal"	"Cleveland"	"OK"	"USA"	36.28340306	-96.46418833
"703"	"96D"	"Walhalla Municipal"	"Walhalla"	"ND"	"USA"	48.94057222	-97.902775
"704"	"96Z"	"North Whale SPB"	"North Whale Pass"	"AK"	"USA"	56.11631056	-133.1217153
"705"	"97M"	"Ekalaka"	"Ekalaka"	"MT"	"USA"	45.87791444	-104.5375072
"706"	"98D"	"Onida Municipal"	"Onida"	"SD"	"USA"	44.70414917	-100.1087353
"707"	"99N"	"Bamburg County"	"Bamburg"	"SC"	"USA"	33.30515528	-81.10898917
"708"	"99Y"	"Greeley Municipal"	"Greeley"	"NE"	"USA"	41.55834528	-98.54618528
"709"	"9A1"	"Covington Municipal"	"Covington"	"GA"	"USA"	33.6324825	-83.84955806
"710"	"9A3"	"Chuathbaluk"	"Chuathbaluk"	"AK"	"USA"	61.58317306	-159.2359667
"711"	"9A4"	"Lawrence County "	"Courtland"	"AL"	"USA"	34.65938889	-87.34883333
"712"	"9A5"	"Barwick-LaFayette "	"LaFayette"	"GA"	"USA"	34.68896917	-85.29023333
"713"	"9A6"	"Chester Municipal"	"Chester"	"SC"	"USA"	34.78933333	-81.19577778
"714"	"9A8"	"Ugashik"	"Ugashik"	"AK"	"USA"	57.5278675	-157.3993056
"715"	"9C8"	"Evart Municipal"	"Evart"	"MI"	"USA"	43.8958525	-85.27920861
"716"	"9D0"	"Highmore Municipal"	"Highmore"	"SD"	"USA"	44.54165056	-99.44622306
"717"	"9D1"	"Gregory Municipal"	"Gregory"	"SD"	"USA"	43.22174722	-99.4033
"718"	"9D2"	"Harding County"	"Buffalo"	"SD"	"USA"	45.58055222	-103.5296356
"719"	"9D7"	"Cando Municipal"	"Cando"	"ND"	"USA"	48.4841675	-99.23680389
"720"	"9D9"	"Hastings Municipal"	"Hastings"	"MI"	"USA"	42.66361778	-85.34625944
"721"	"9G0"	"Buffalo Airfield"	"Buffalo"	"NY"	"USA"	42.86200306	-78.71658528
"722"	"9G1"	"West Penn"	"Tarentum"	"PA"	"USA"	40.60423333	-79.82060611
"723"	"9G3"	"Akron"	"Akron"	"NY"	"USA"	43.02108667	-78.48296778
"724"	"9G5"	"Royalton"	"Gasport"	"NY"	"USA"	43.18200222	-78.55780528
"725"	"9G8"	"Ebensburg"	"Ebensburg"	"PA"	"USA"	40.46121083	-78.77524389
"726"	"9I0"	"Havana Regional"	"Havana"	"IL"	"USA"	40.221155	-90.02289361
"727"	"9I3"	"West Liberty"	"West Liberty"	"KY"	"USA"	37.91453139	-83.25212111
"728"	"9K2"	"Kokhanok"	"Kokhanok"	"AK"	"USA"	59.43264556	-154.8027058
"729"	"9K4"	"Skyhaven"	"Warrensburg"	"MO"	"USA"	38.7842425	-93.80285417
"730"	"9K7"	"Ellsworth Municipal "	"Ellsworth"	"KS"	"USA"	38.74750889	-98.23061222
"731"	"9K8"	"Kingman Municipal"	"Kingman"	"KS"	"USA"	37.66660278	-98.12264722
"732"	"9M4"	"Ackerman-Choctaw County"	"Ackerman"	"MS"	"USA"	33.3034575	-89.22840028
"733"	"9M6"	"Kelly"	"Oak Grove"	"LA"	"USA"	32.84921361	-91.40390611
"734"	"9M8"	"Sheridan-Grant County Regional"	"Sheridan"	"AR"	"USA"	34.32842917	-92.35098583
"735"	"9S2"	"Scobey"	"Scobey"	"MT"	"USA"	48.80772722	-105.43947
"736"	"9S4"	"Mineral County"	"Superior"	"MT"	"USA"	47.16825944	-114.8537411
"737"	"9S5"	"Three Forks"	"Three Forks"	"MT"	"USA"	45.87852778	-111.5691389
"738"	"9S7"	"Winifred"	"Winifred"	"MT"	"USA"	47.55164778	-109.3776792
"739"	"9S9"	"Lexington"	"Lexington"	"OR"	"USA"	45.45263139	-119.6886361
"740"	"9U0"	"Turner"	"Turner"	"MT"	"USA"	48.85417361	-108.4090214
"741"	"9U3"	"Austin"	"Austin"	"NV"	"USA"	39.46798056	-117.1953703
"742"	"9U4"	"Dixon"	"Dixon"	"WY"	"USA"	41.03829806	-107.4972869
"743"	"9V5"	"Modisett "	"Rushville"	"NE"	"USA"	42.73748639	-102.4448947
"744"	"9V6"	"Martin Municipal"	"Martin"	"SD"	"USA"	43.16564083	-101.7126953
"745"	"9V9"	"Chamberlain Municipal"	"Chamberlain"	"SD"	"USA"	43.76612222	-99.32134
"746"	"9W7"	"Currituck County"	"Currituck"	"NC"	"USA"	36.39893194	-76.01631111
"747"	"A04"	"Centre Municipal"	"Centre"	"AL"	"USA"	34.15987361	-85.63512944
"748"	"A14"	"Portage Creek"	"Portage Creek"	"AK"	"USA"	58.906485	-157.7141078
"749"	"A29"	"Sitka SPB"	"Sitka"	"AK"	"USA"	57.05213778	-135.3462086
"750"	"A30"	"Scott Valley"	"Fort Jones"	"CA"	"USA"	41.55819444	-122.8553103
"751"	"A32"	"Butte Valley"	"Dorris"	"CA"	"USA"	41.88709222	-121.9755614
"752"	"A61"	"Tuntutuliak"	"Tuntutuliak"	"AK"	"USA"	60.33534556	-162.6670094
"753"	"A63"	"Twin Hills"	"Twin Hills"	"AK"	"USA"	59.07562167	-160.2730436
"754"	"A79"	"Chignik Lake"	"Chignik Lake"	"AK"	"USA"	56.25504722	-158.7753614
"755"	"A85"	"Kwigillingok"	"Kwigillingok"	"AK"	"USA"	59.87644778	-163.1675583
"756"	"AAF"	"Apalachicola Municipal"	"Apalachicola"	"FL"	"USA"	29.72754583	-85.02744778
"757"	"AAO"	"Colonel James Jabara"	"Wichita"	"KS"	"USA"	37.74755556	-97.22113889
"758"	"AAS"	"Taylor County"	"Cambellsville"	"KY"	"USA"	37.35827778	-85.30941667
"759"	"AAT"	"Alturas Municipal"	"Alturas"	"CA"	"USA"	41.483	-120.5653611
"760"	"ABE"	"Lehigh Valley International"	"Allentown"	"PA"	"USA"	40.65236278	-75.44040167
"761"	"ABI"	"Abilene Regional"	"Abilene"	"TX"	"USA"	32.41132	-99.68189722
"762"	"ABO"	"Antonio (Nery) Juarbe Pol"	"Arecibo"	"PR"	"USA"	18.45111111	-66.67555556
"763"	"ABQ"	"Albuquerque International"	"Albuquerque"	"NM"	"USA"	35.04022222	-106.6091944
"764"	"ABR"	"Aberdeen Regional"	"Aberdeen"	"SD"	"USA"	45.44905556	-98.42183333
"765"	"ABY"	"Southwest Georgia Regional"	"Albany"	"GA"	"USA"	31.535515	-84.19447333
"766"	"ACB"	"Antrim County"	"Bellaire"	"MI"	"USA"	44.98857611	-85.198355
"767"	"ACJ"	"Souther "	"Americus"	"GA"	"USA"	32.11079917	-84.18884806
"768"	"ACK"	"Nantucket Memorial"	"Nantucket"	"MA"	"USA"	41.25305194	-70.06018139
"769"	"ACQ"	"Waseca Municipal"	"Waseca"	"MN"	"USA"	44.07346389	-93.55294361
"770"	"ACT"	"Waco Regional"	"Waco"	"TX"	"USA"	31.61128833	-97.23051917
"771"	"ACV"	"Arcata"	"Arcata/Eureka"	"CA"	"USA"	40.97811528	-124.1086189
"772"	"ACY"	"Atlantic City International"	"Atlantic City"	"NJ"	"USA"	39.45758333	-74.57716667
"773"	"ACZ"	"Henderson "	"Wallace"	"NC"	"USA"	34.71789028	-78.00362444
"774"	"ADC"	"Wadena Municipal "	"Wadena"	"MN"	"USA"	46.45026972	-95.21095472
"775"	"ADG"	"Lenawee County"	"Adrian"	"MI"	"USA"	41.86943667	-84.07480528
"776"	"ADH"	"Ada Municipal"	"Ada"	"OK"	"USA"	34.80434056	-96.6712775
"777"	"ADK"	"Adak"	"Adak"	"AK"	"USA"	51.87796389	-176.6460306
"778"	"ADM"	"Ardmore Municipal"	"Ardmore"	"OK"	"USA"	34.30320667	-97.01952167
"779"	"ADQ"	"Kodiak "	"Kodiak"	"AK"	"USA"	57.74996778	-152.4938553
"780"	"ADS"	"Addison"	"Dallas/Addison"	"TX"	"USA"	32.96855944	-96.83644778
"781"	"ADT"	"Atwood-Rawlins County City-County"	"Atwood"	"KS"	"USA"	39.84013889	-101.0420278
"782"	"ADU"	"Audubon Municipal"	"Audubon"	"IA"	"USA"	41.70137556	-94.92054167
"783"	"AEG"	"Double Eagle II"	"Albuquerque"	"NM"	"USA"	35.14515278	-106.7951617
"784"	"AEL"	"Albert Lea Municipal"	"Albert Lea"	"MN"	"USA"	43.68151278	-93.36723778
"785"	"AEX"	"Alexandria International"	"Alexandria"	"LA"	"USA"	31.32737167	-92.54855611
"786"	"AFE"	"Kake"	"Kake"	"AK"	"USA"	56.96048139	-133.9082694
"787"	"AFJ"	"Washington County"	"Washington"	"PA"	"USA"	40.13648833	-80.29020083
"788"	"AFK"	"Nebraska City Municipal"	"Nebraska City"	"NE"	"USA"	40.60688889	-95.86569444
"789"	"AFM"	"Ambler"	"Ambler"	"AK"	"USA"	67.10610472	-157.8536203
"790"	"AFN"	"Jaffrey Municipal Silver Ranch"	"Jaffrey"	"NH"	"USA"	42.80513417	-72.00302194
"791"	"AFO"	"Afton Municipal"	"Afton"	"WY"	"USA"	42.71124583	-110.9421639
"792"	"AFW"	"Fort Worth Alliance"	"Fort Worth"	"TX"	"USA"	32.98763889	-97.31880556
"793"	"AGC"	"Allegheny Cty"	"Pittsburgh"	"PA"	"USA"	40.35440139	-79.93016889
"794"	"AGN"	"Angoon SPB"	"Angoon"	"AK"	"USA"	57.50355528	-134.5850939
"795"	"AGO"	"Magnolia Municipal"	"Magnolia"	"AR"	"USA"	33.22802111	-93.21696861
"796"	"AGS"	"Bush "	"Augusta"	"GA"	"USA"	33.369955	-81.96449611
"797"	"AGZ"	"Wagner Municipal"	"Wagner"	"SD"	"USA"	43.06332694	-98.29618972
"798"	"AHH"	"Amery Municipal"	"Amery"	"WI"	"USA"	45.28114833	-92.37539222
"799"	"AHN"	"Athens Municipal"	"Athens"	"GA"	"USA"	33.94859528	-83.32634694
"800"	"AHP"	"Port Alexander SPB"	"Port Alexander"	"AK"	"USA"	56.24684222	-134.6481539
"801"	"AHQ"	"Wahoo Municipal"	"Wahoo"	"NE"	"USA"	41.24133333	-96.59402778
"802"	"AIA"	"Alliance Municipal"	"Alliance"	"NE"	"USA"	42.05325	-102.8037222
"803"	"AID"	"Anderson Municipal"	"Anderson"	"IN"	"USA"	40.10862139	-85.61299472
"804"	"AIG"	"Langlade County"	"Antigo"	"WI"	"USA"	45.15419444	-89.11072222
"805"	"AIK"	"Aiken Municipal"	"Aiken"	"SC"	"USA"	33.64955556	-81.68447222
"806"	"AIO"	"Atlantic Municipal"	"Atlantic"	"IA"	"USA"	41.40726722	-95.04690639
"807"	"AIT"	"Aitkin Municipal"	"Aitkin"	"MN"	"USA"	46.5484225	-93.6768
"808"	"AIV"	"George Downer "	"Aliceville"	"AL"	"USA"	33.10706889	-88.19725167
"809"	"AIY"	"Atlantic City Municipal"	"Atlantic City"	"NJ"	"USA"	39.36002778	-74.45608333
"810"	"AIZ"	"Lee C Fine Memorial"	"Kaiser/Lake Ozark"	"MO"	"USA"	38.096035	-92.5494875
"811"	"AJC"	"Chignik (Anchorage Bay)"	"Chignik"	"AK"	"USA"	56.3114625	-158.3732369
"812"	"AJG"	"Mt Carmel Municipal"	"Mt Carmel"	"IL"	"USA"	38.60654722	-87.72669417
"813"	"AJO"	"Corona Municipal"	"Corona"	"CA"	"USA"	33.89765389	-117.60244
"814"	"AJR"	"Habersham County"	"Cornelia"	"GA"	"USA"	34.50081944	-83.55487
"815"	"AK5"	"Perryville"	"Perryville"	"AK"	"USA"	55.90806056	-159.1585781
"816"	"AKA"	"Atka"	"Atka"	"AK"	"USA"	52.22034833	-174.2063503
"817"	"AKH"	"Gastonia Municipal"	"Gastonia"	"NC"	"USA"	35.20265944	-81.1498675
"818"	"AKI"	"Akiak"	"Akiak"	"AK"	"USA"	60.90481194	-161.2270189
"819"	"AKK"	"Akhiok"	"Akhiok"	"AK"	"USA"	56.93869083	-154.1825556
"820"	"AKN"	"King Salmon"	"King Salmon"	"AK"	"USA"	58.67680167	-156.6492175
"821"	"AKO"	"Akron-Washington Co"	"Akron"	"CO"	"USA"	40.17563333	-103.2220278
"822"	"AKP"	"Anaktuvuk Pass"	"Anaktuvuk Pass"	"AK"	"USA"	68.1343225	-151.74168
"823"	"AKR"	"Akron Fulton Intl."	"Akron"	"OH"	"USA"	41.0375	-81.46693944
"824"	"AKW"	"Klawock"	"Klawock"	"AK"	"USA"	55.57923333	-133.0759972
"825"	"AL08"	"Vaiden "	"Marion"	"AL"	"USA"	32.51235611	-87.38555472
"826"	"ALB"	"Albany Cty"	"Albany"	"NY"	"USA"	42.74811944	-73.80297861
"827"	"ALI"	"Alice International"	"Alice"	"TX"	"USA"	27.74088889	-98.02694444
"828"	"ALM"	"Alamogordo-White Sands Regional"	"Alamogordo"	"NM"	"USA"	32.83994444	-105.9905833
"829"	"ALN"	"St. Louis Regional"	"Alton/St. Louis"	"IL"	"USA"	38.89029083	-90.04604306
"830"	"ALO"	"Waterloo Municipal"	"Waterloo"	"IA"	"USA"	42.55708139	-92.40034361
"831"	"ALS"	"San Luis Valley Regional/Bergman "	"Alamosa"	"CO"	"USA"	37.43491667	-105.8665556
"832"	"ALW"	"Walla Walla Regional"	"Walla Walla"	"WA"	"USA"	46.09456167	-118.2880367
"833"	"ALX"	"Thomas C Russell "	"Alexander City"	"AL"	"USA"	32.91475167	-85.96295611
"834"	"AMA"	"Amarillo International"	"Amarillo"	"TX"	"USA"	35.2193725	-101.7059272
"835"	"AMG"	"Bacon County"	"Alma"	"GA"	"USA"	31.53605556	-82.50655556
"836"	"AMN"	"Gratiot Community"	"Alma"	"MI"	"USA"	43.3221425	-84.68794917
"837"	"AMT"	"Alexander Salamon"	"West Union"	"OH"	"USA"	38.85148778	-83.56627778
"838"	"AMW"	"Ames Municipal"	"Ames"	"IA"	"USA"	41.99206972	-93.62180139
"839"	"ANB"	"Anniston Metropolitan"	"Anniston"	"AL"	"USA"	33.58816667	-85.85811111
"840"	"ANC"	"Ted Stevens Anchorage International"	"Anchorage"	"AK"	"USA"	61.17432028	-149.9961856
"841"	"AND"	"Anderson County"	"Anderson"	"SC"	"USA"	34.49494444	-82.70902778
"842"	"ANE"	"Anoka County"	"Minneapolis"	"MN"	"USA"	45.145	-93.21138889
"843"	"ANI"	"Aniak"	"Aniak"	"AK"	"USA"	61.58159694	-159.5430428
"844"	"ANQ"	"Steuben County-Tri State"	"Angola"	"IN"	"USA"	41.63969833	-85.08349333
"845"	"ANV"	"Anvik"	"Anvik"	"AK"	"USA"	62.64858333	-160.1898889
"846"	"ANW"	"Ainsworth Municipal"	"Ainsworth"	"NE"	"USA"	42.57922222	-99.99297222
"847"	"ANY"	"Anthony Municipal"	"Anthony"	"KS"	"USA"	37.15852194	-98.07964667
"848"	"AOC"	"Arco-Butte County"	"Arco"	"ID"	"USA"	43.60343056	-113.3340972
"849"	"AOH"	"Allen County"	"Lima"	"OH"	"USA"	40.70694444	-84.02666667
"850"	"AOO"	"Altoona-Blair Cty"	"Altoona"	"PA"	"USA"	40.29637222	-78.32002306
"851"	"APA"	"Centennial"	"Denver"	"CO"	"USA"	39.57012833	-104.8492942
"852"	"APC"	"Napa County"	"Napa"	"CA"	"USA"	38.21319444	-122.2806944
"853"	"APF"	"Naples Municipal"	"Naples"	"FL"	"USA"	26.15247222	-81.77544444
"854"	"APN"	"Alpena County Regional "	"Alpena"	"MI"	"USA"	45.0780675	-83.56028583
"855"	"APT"	"Marion County-Brown "	"Jasper"	"TN"	"USA"	35.06067778	-85.58531667
"856"	"APV"	"Apple Valley"	"Apple Valley"	"CA"	"USA"	34.57528944	-117.1861792
"857"	"AQC"	"Klawock SPB"	"Klawock"	"AK"	"USA"	55.5546575	-133.1016928
"858"	"AQH"	"Kwinhagak"	"Quinhagak"	"AK"	"USA"	59.75700722	-161.8794789
"859"	"AQT"	"Nuiqsut"	"Nuiqsut"	"AK"	"USA"	70.20995278	-151.0055611
"860"	"AQW"	"Harriman And West"	"North Adams"	"MA"	"USA"	42.69591417	-73.17038306
"861"	"AQY"	"Girdwood"	"Girdwood"	"AK"	"USA"	60.96609583	-149.1257892
"862"	"ARA"	"Acadiana Regional"	"New Iberia"	"LA"	"USA"	30.03775833	-91.88389611
"863"	"ARB"	"Ann Arbor Municipal"	"Ann Arbor"	"MI"	"USA"	42.22298361	-83.74560722
"864"	"ARC"	"Arctic Village"	"Arctic Village"	"AK"	"USA"	68.11608083	-145.5761114
"865"	"ARG"	"Walnut Ridge Regional"	"Walnut Ridge"	"AR"	"USA"	36.12534667	-90.92461944
"866"	"ARR"	"Aurora Municipal"	"Chicago/Aurora"	"IL"	"USA"	41.77192944	-88.47565917
"867"	"ART"	"Watertown Intl"	"Watertown"	"NY"	"USA"	43.99192222	-76.02173861
"868"	"ARV"	"Lakeland"	"Minocqua-Woodruff"	"WI"	"USA"	45.92792556	-89.73094278
"869"	"ASD"	"Slidell"	"Slidell"	"LA"	"USA"	30.345055	-89.82078833
"870"	"ASE"	"Aspen-Pitkin Co/Sardy "	"Aspen"	"CO"	"USA"	39.22316	-106.868845
"871"	"ASG"	"Springdale Municipal"	"Springdale"	"AR"	"USA"	36.17641056	-94.11925833
"872"	"ASH"	"Boire "	"Nashua"	"NH"	"USA"	42.78176306	-71.51477944
"873"	"ASJ"	"Tri-County"	"Ahoskie"	"NC"	"USA"	36.29752583	-77.17085556
"874"	"ASL"	"Marshall - Harrison County"	"Marshall"	"TX"	"USA"	32.5205	-94.30777778
"875"	"ASN"	"Talladega Municipal"	"Talladega"	"AL"	"USA"	33.56991111	-86.05085833
"876"	"AST"	"Astoria Regional"	"Astoria"	"OR"	"USA"	46.15797222	-123.8786944
"877"	"ASW"	"Warsaw Municipal"	"Warsaw"	"IN"	"USA"	41.2747	-85.84005556
"878"	"ASX"	"John F Kennedy Memorial"	"Ashland"	"WI"	"USA"	46.54852806	-90.91896639
"879"	"ATA"	"Hall-Miller Municipal"	"Atlanta"	"TX"	"USA"	33.101805	-94.19532694
"880"	"ATK"	"Atqasuk"	"Atqasuk"	"AK"	"USA"	70.46727611	-157.4357361
"881"	"ATL"	"William B Hartsfield-Atlanta Intl"	"Atlanta"	"GA"	"USA"	33.64044444	-84.42694444
"882"	"ATS"	"Artesia Municipal"	"Artesia"	"NM"	"USA"	32.85252806	-104.4676864
"883"	"ATW"	"Outagamie County Regional"	"Appleton"	"WI"	"USA"	44.25740806	-88.51947556
"884"	"ATY"	"Watertown Municipal"	"Watertown"	"SD"	"USA"	44.91398056	-97.15471944
"885"	"AUG"	"Augusta State"	"Augusta"	"ME"	"USA"	44.32064972	-69.79731806
"886"	"AUH"	"Aurora Municipal"	"Aurora"	"NE"	"USA"	40.89413889	-97.99455556
"887"	"AUK"	"Alakanuk"	"Alakanuk"	"AK"	"USA"	62.68004417	-164.6599253
"888"	"AUM"	"Austin Municipal"	"Austin"	"MN"	"USA"	43.66499083	-92.933385
"889"	"AUN"	"Auburn Municipal"	"Auburn"	"CA"	"USA"	38.95476944	-121.0820806
"890"	"AUO"	"Auburn-Opelik"	"Auburn"	"AL"	"USA"	32.61635417	-85.43355944
"891"	"AUS"	"Austin-Bergstrom International"	"Austin"	"TX"	"USA"	30.19453278	-97.66987194
"892"	"AUW"	"Wausau Municipal"	"Wausau"	"WI"	"USA"	44.92847222	-89.62661111
"893"	"AVC"	"Mecklenburg-Brunswick Regional"	"South Hill"	"VA"	"USA"	36.68827778	-78.05447222
"894"	"AVK"	"Alva Regional"	"Alva"	"OK"	"USA"	36.77317	-98.66994611
"895"	"AVL"	"Asheville Regional"	"Asheville"	"NC"	"USA"	35.43619444	-82.54180556
"896"	"AVO"	"Avon Park Municipal"	"Avon Park"	"FL"	"USA"	27.591145	-81.52785333
"897"	"AVP"	"Wilkes-Barre/Scranton Intl"	"Wilkes-Barre/Scranton"	"PA"	"USA"	41.33814944	-75.7242675
"898"	"AVQ"	"Marana Northwest Regional"	"Marana"	"AZ"	"USA"	32.40939028	-111.2185086
"899"	"AVX"	"Catalina"	"Avalon"	"CA"	"USA"	33.40494444	-118.4158611
"900"	"AWG"	"Washington Municipal"	"Washington"	"IA"	"USA"	41.27610083	-91.67344389
"901"	"AWI"	"Wainwright"	"Wainwright"	"AK"	"USA"	70.638	-159.99475
"902"	"AWM"	"West Memphis Municipal"	"West Memphis"	"AR"	"USA"	35.13505861	-90.23444639
